player,nation,wc_year,age_at_wc,fifa_rank_pre,team_stage,matches,minutes,goals_conceded,clean_sheets,saves,save_pct,pen_saves,shootout_wins,golden_glove,club_pre,league_pre,club_pre_tier,mv_pre_eur_m,club_post,moved,move_up,transfer_fee_eur_m,mv_post_eur_m,data_confidence,notes,xg_prevented,sot_faced
Guillermo Ochoa,Mexico,2014,28,19,r16,4,360,3,2,20,,0,0,0,AC Ajaccio,Ligue 1,other_euro,1.0,Malaga,1,1,0.0,4.0,high,Free agent (Ajaccio relegated); 6 saves vs Brazil; free move to La Liga,,
Tim Howard,USA,2014,35,14,r16,4,390,5,1,27,,0,0,0,Everton,Premier League,top5,6.0,Everton,0,0,,5.0,high,"Record 16 saves vs Belgium; extension signed pre-WC; age 35, no move",,
Vincent Enyeama,Nigeria,2014,31,44,r16,4,360,3,2,14,,0,0,0,Lille,Ligue 1,top5,6.0,Lille,0,0,,6.0,med,"Captain; 2 clean sheets; already at Lille, no new move",,
Rais M'Bolhi,Algeria,2014,28,22,r16,4,390,5,0,18,,0,0,0,CSKA Sofia,Bulgarian PL,domestic_small,1.0,Philadelphia Union,1,0,0.35,1.2,med,"~11 saves vs Germany; modest WC-enabled move to MLS (DP, lateral)",,
David Ospina,Colombia,2014,25,8,qf,5,480,4,2,15,,0,0,0,OGC Nice,Ligue 1,top5,6.0,Arsenal,1,1,4.0,9.0,high,QF run; moved Nice->Arsenal Aug 2014,,
Sergio Romero,Argentina,2014,27,7,final,7,690,4,5,16,,2,1,0,AS Monaco,Ligue 1,top5,4.0,Sampdoria,1,0,0.0,4.0,med,"2 shootout saves vs NED (SF); runners-up; loan move, no upgrade",,
Thibaut Courtois,Belgium,2018,26,3,sf,7,630,6,3,25,80.6,0,0,1,Chelsea,Premier League,top5,45.0,Real Madrid,1,1,35.0,60.0,high (StatsBomb),Golden Glove; 3rd place; moved Chelsea->Real Madrid (~€35m). Elite-nation mover | stats: StatsBomb open data,-3.28,31.0
Guillermo Ochoa,Mexico,2018,32,15,r16,4,360,5,1,25,83.3,0,0,0,Standard Liege,Belgian PL,other_euro,2.0,Club America,1,0,1.0,1.5,high (StatsBomb),~9 saves in 1-0 upset of Germany; homecoming move to Liga MX (down) | stats: StatsBomb open data,0.24,30.0
Danijel Subasic,Croatia,2018,33,20,final,7,690,7,2,14,66.7,4,2,0,AS Monaco,Ligue 1,top5,4.0,AS Monaco,0,0,,3.0,high (StatsBomb),"KEY counterexample: 3 shootout saves vs DEN +1 vs RUS, reached final; age 33, no move | stats: StatsBomb open data",-4.58,21.0
Kasper Schmeichel,Denmark,2018,31,12,r16,4,390,2,2,19,90.5,3,0,0,Leicester City,Premier League,top5,12.0,Leicester City,0,0,,11.0,high (StatsBomb),"Saved Modric ET pen + 2 in shootout vs Croatia; established PL, no move | stats: StatsBomb open data",0.83,21.0
Hannes Halldorsson,Iceland,2018,34,22,group,3,270,5,0,8,61.5,1,0,0,Randers FC,Danish Superliga,other_euro,0.4,Qarabag,1,0,0.0,0.5,high (StatsBomb),Saved Messi pen in Iceland's first WC game; modest move to Azerbaijan; age 34 | stats: StatsBomb open data,-2.99,13.0
Alireza Beiranvand,Iran,2018,25,37,group,3,270,2,1,8,80.0,1,0,0,Persepolis,Persian Gulf Pro,non_euro,0.5,Persepolis,0,0,,0.8,high (StatsBomb),Saved Ronaldo pen; young & heroic but Antwerp move came ~2yrs later (outside window) | stats: StatsBomb open data,-0.56,10.0
Cho Hyun-woo,South Korea,2018,26,57,group,3,270,3,1,12,80.0,0,0,0,Daegu FC,K League 1,non_euro,0.5,Ulsan Hyundai,1,0,1.0,1.5,high (StatsBomb),"MotM in 2-0 win vs Germany; European interest but no move (fee/age/military), domestic move | stats: StatsBomb open data",0.68,15.0
Igor Akinfeev,Russia,2018,32,70,qf,5,480,5,1,16,76.2,3,1,0,CSKA Moscow,Russian PL,non_euro,8.0,CSKA Moscow,0,0,,7.0,high (StatsBomb),"Host; saved 2 vs Spain in R16 shootout; one-club career, no move | stats: StatsBomb open data",-1.58,21.0
Emiliano Martinez,Argentina,2022,30,3,winner,7,690,7,3,6,46.2,3,2,1,Aston Villa,Premier League,top5,28.0,Aston Villa,0,0,,32.0,high (StatsBomb),Golden Glove; ET save on Kolo Muani + shootout saves; champion but stayed | stats: StatsBomb open data,-4.23,13.0
Dominik Livakovic,Croatia,2022,27,12,sf,7,690,7,3,24,77.4,4,2,0,Dinamo Zagreb,Croatian HNL,non_euro,10.0,Fenerbahce,1,1,6.65,10.0,high (StatsBomb),3 shootout saves vs Japan; 11 saves vs Brazil; 3rd; moved to Fenerbahce | stats: StatsBomb open data,-1.81,31.0
Yassine Bono,Morocco,2022,31,22,sf,6,540,4,4,7,63.6,2,1,0,Sevilla,La Liga,top5,15.0,Al-Hilal,1,1,21.0,18.0,high (StatsBomb),1st African WC semifinal; ~1 open-play goal conceded; ~€21m move to Al-Hilal | stats: StatsBomb open data,-2.07,11.0
Wojciech Szczesny,Poland,2022,32,26,r16,4,360,5,2,25,83.3,2,0,0,Juventus,Serie A,top5,12.0,Juventus,0,0,,10.0,high (StatsBomb),"Saved Messi pen + Saudi pen; established at Juve, no move | stats: StatsBomb open data",-0.77,30.0
Mathew Ryan,Australia,2022,30,38,r16,4,360,6,2,13,68.4,0,0,0,FC Copenhagen,Danish Superliga,other_euro,2.5,AZ Alkmaar,1,0,0.0,2.0,high (StatsBomb),"R16 (first since 2006); lateral move, then Roma backup | stats: StatsBomb open data",-3.35,19.0
Guillermo Ochoa,Mexico,2022,37,13,group,3,270,3,1,3,50.0,1,0,0,Club America,Liga MX,non_euro,1.0,Salernitana,1,1,0.0,1.2,high (StatsBomb),Saved Lewandowski pen; age 37 but earned a Serie A move (Liga MX -> Serie A) | stats: StatsBomb open data,-1.56,6.0
Andries Noppert,Netherlands,2022,28,8,qf,5,480,4,2,18,81.8,0,0,0,SC Heerenveen,Eredivisie,other_euro,1.5,SC Heerenveen,0,0,,2.0,high (StatsBomb),"Surprise breakout, QF run; but strong nation & stayed at Heerenveen | stats: StatsBomb open data",-0.45,22.0
Mohammed Al-Owais,Saudi Arabia,2022,31,51,group,3,270,5,0,14,73.7,0,0,0,Al-Hilal,Saudi Pro League,non_euro,1.5,Al-Hilal,0,0,,1.5,high (StatsBomb),Player of match in 2-1 win over Argentina; SPL foreign-keeper rule blocks export | stats: StatsBomb open data,-1.18,19.0
Yann Sommer,Switzerland,2022,33,15,r16,4,360,7,1,12,63.2,0,0,0,Borussia M.gladbach,Bundesliga,top5,4.0,Bayern Munich,1,1,8.0,6.0,high (StatsBomb),"Moved to Bayern Jan 2023 (Neuer injury-driven, not WC); counted as a mover | stats: StatsBomb open data",-4.23,19.0
Shuichi Gonda,Japan,2022,33,24,r16,4,360,4,1,15,78.9,0,0,0,Shimizu S-Pulse,J1 League,non_euro,0.5,Shimizu S-Pulse,0,0,,0.5,high (StatsBomb),"MotM in 2-1 win vs Germany; great tournament but age 33, no move | stats: StatsBomb open data",-1.61,19.0
Alexander Dominguez,Ecuador,2014,27,28,group,3,270,3,1,11,,0,0,0,LDU Quito,Ecuadorian Serie A,non_euro,1.6,LDU Quito,0,0,,1.6,med,MotM 0-0 vs France; group exit; modest move to Mexico came in 2016 (outside window),,
Essam El-Hadary,Egypt,2018,45,45,group,1,90,2,0,5,71.4,1,0,0,Al-Taawoun,Saudi Pro League,non_euro,0.1,Al-Taawoun,0,0,,0.1,high (StatsBomb),"Oldest player in WC history; saved a pen; age 45, no move | stats: StatsBomb open data",-0.1,7.0
Claudio Bravo,Chile,2014,31,14,r16,4,360,4,1,12,,0,0,0,Real Sociedad,La Liga,top5,8.0,Barcelona,1,1,12.0,14.0,med,"Chile R16 (lost pens to Brazil); moved Real Sociedad->Barcelona ~€12m, Jul 2014",,
Jung Sung-ryong,South Korea,2010,25,47,r16,4,360,8,1,14,,0,0,0,Seongnam Ilhwa,K League 1,non_euro,0.8,Seongnam Ilhwa,0,0,,1.0,low,"R16 run; clean sheet vs Greece; stayed in K League, no European move",,
Diego Benaglio,Switzerland,2010,26,24,group,3,270,1,1,10,,0,0,0,VfL Wolfsburg,Bundesliga,top5,6.0,VfL Wolfsburg,0,0,,6.0,low,Clean sheet in 1-0 win over eventual champions Spain; stayed at Wolfsburg,,
Robert Green,England,2010,30,8,group,1,90,1,0,2,,0,0,0,West Ham United,Premier League,top5,6.0,West Ham United,0,0,,4.0,low,"Infamous fumble vs USA; dropped afterwards - error, not a breakout",,
Carlos Kameni,Cameroon,2014,30,56,group,3,270,9,0,11,,0,0,0,Malaga,La Liga,top5,3.0,Malaga,0,0,,2.5,low,"Cameroon group exit (conceded 9); stayed at Malaga, no move",,
